Code,Name,Continent,Region,IndepYear,Population
LKA,Sri Lanka,Asia,Southern and Central Asia,1948,18827000
LSO,Lesotho,Africa,Southern Africa,1966,2153000
LTU,Lithuania,Europe,Baltic Countries,1991,3698500
LUX,Luxembourg,Europe,Western Europe,1867,435700
LVA,Latvia,Europe,Baltic Countries,1991,2424200
MAC,Macao,Asia,Eastern Asia,,473000
MAR,Morocco,Africa,Northern Africa,1956,28351000
MCO,Monaco,Europe,Western Europe,1861,34000
MDA,Moldova,Europe,Eastern Europe,1991,4380000
MDG,Madagascar,Africa,Eastern Africa,1960,15942000
MDV,Maldives,Asia,Southern and Central Asia,1965,286000
MEX,Mexico,North America,Central America,1810,98881000
MHL,Marshall Islands,Oceania,Micronesia,1990,64000
MKD,Macedonia,Europe,Southern Europe,1991,2024000
MLI,Mali,Africa,Western Africa,1960,11234000
MLT,Malta,Europe,Southern Europe,1964,380200
MMR,Myanmar,Asia,Southeast Asia,1948,45611000
MNG,Mongolia,Asia,Eastern Asia,1921,2662000
MNP,Northern Mariana Islands,Oceania,Micronesia,,78000
MOZ,Mozambique,Africa,Eastern Africa,1975,19680000
MRT,Mauritania,Africa,Western Africa,1960,2670000
MSR,Montserrat,North America,Caribbean,,11000
MTQ,Martinique,North America,Caribbean,,395000
MUS,Mauritius,Africa,Eastern Africa,1968,1158000
MWI,Malawi,Africa,Eastern Africa,1964,10925000
MYS,Malaysia,Asia,Southeast Asia,1957,22244000
MYT,Mayotte,Africa,Eastern Africa,,149000
NAM,Namibia,Africa,Southern Africa,1990,1726000
NCL,New Caledonia,Oceania,Melanesia,,214000
NER,Niger,Africa,Western Africa,1960,10730000
NFK,Norfolk Island,Oceania,Australia and New Zealand,,2000
NGA,Nigeria,Africa,Western Africa,1960,111506000
NIC,Nicaragua,North America,Central America,1838,5074000
NIU,Niue,Oceania,Polynesia,,2000
NLD,Netherlands,Europe,Western Europe,1581,15864000
NOR,Norway,Europe,Nordic Countries,1905,4478500
NPL,Nepal,Asia,Southern and Central Asia,1769,23930000
NRU,Nauru,Oceania,Micronesia,1968,12000
NZL,New Zealand,Oceania,Australia and New Zealand,1907,3862000
OMN,Oman,Asia,Middle East,1951,2542000
PAK,Pakistan,Asia,Southern and Central Asia,1947,156483000
PAN,Panama,North America,Central America,1903,2856000
PCN,Pitcairn,Oceania,Polynesia,,50
PER,Peru,South America,South America,1821,25662000
PHL,Philippines,Asia,Southeast Asia,1946,75967000
PLW,Palau,Oceania,Micronesia,1994,19000
PNG,Papua New Guinea,Oceania,Melanesia,1975,4807000
POL,Poland,Europe,Eastern Europe,1918,38653600
PRI,Puerto Rico,North America,Caribbean,,3869000
PRK,North Korea,Asia,Eastern Asia,1948,24039000
PRT,Portugal,Europe,Southern Europe,1143,9997600
PRY,Paraguay,South America,South America,1811,5496000
PSE,Palestine,Asia,Middle East,,3101000
PYF,French Polynesia,Oceania,Polynesia,,235000
QAT,Qatar,Asia,Middle East,1971,599000
REU,Réunion,Africa,Eastern Africa,,699000
ROM,Romania,Europe,Eastern Europe,1878,22455500
RUS,Russian Federation,Europe,Eastern Europe,1991,146934000
RWA,Rwanda,Africa,Eastern Africa,1962,7733000
SAU,Saudi Arabia,Asia,Middle East,1932,21607000
SDN,Sudan,Africa,Northern Africa,1956,29490000
